layer,probe,mean_r2,std_r2,best_lr,best_wd
0,speed,0.1835651993751526,0.06258665430737918,0.005,0.8
1,speed,0.9431579396128654,0.015683056539079587,0.001,0.01
2,speed,0.936586394160986,0.015429750765453729,0.005,0.01
3,speed,0.9353959269821643,0.016206280915968516,0.005,0.01
4,speed,0.940981562435627,0.007667433496363907,0.005,0.1
5,speed,0.9500329039990902,0.011830576897418286,0.003,0.1
6,speed,0.9735776636749506,0.004570685146048477,0.005,0.4
7,speed,0.9774812135845423,0.002918608259390723,0.005,0.4
8,speed,0.9833573337644339,0.002035702563217705,0.005,0.4
9,speed,0.9881058478727937,0.0023404448741449475,0.005,0.1
10,speed,0.9882630391046405,0.002863943453262587,0.005,0.1
11,speed,0.9881810357794165,0.0027183265770714363,0.005,0.4
12,speed,0.9900639027357101,0.0024619937654404666,0.005,0.4
13,speed,0.9914260562509298,0.001361418627659633,0.005,0.1
14,speed,0.9905784576199949,0.0024599428491621452,0.005,0.1
15,speed,0.9902176456525922,0.0019694424216733443,0.005,0.1
16,speed,0.9906270275823772,0.0018699280085974935,0.005,0.1
17,speed,0.9913853579200804,0.002403834211167863,0.005,0.1
18,speed,0.9917898951098323,0.0018546993607307697,0.005,0.1
19,speed,0.9922225607559085,0.0019840027973989692,0.005,0.1
20,speed,0.9921361081302166,0.0006387308313595465,0.005,0.1
21,speed,0.9913475275039673,0.0007046836304477084,0.005,0.1
22,speed,0.9892566899769009,0.002544415744182812,0.005,0.1
23,speed,0.9889395477250218,0.0025246365667104397,0.005,0.1
0,direction,0.06854814291000366,0.06071932108684747,0.0001,0.8
1,direction,0.6805808305740356,0.03819749065497444,0.003,0.1
2,direction,0.8414259672164917,0.021372954512862027,0.005,0.01
3,direction,0.898304495215416,0.012740444244099577,0.003,0.01
4,direction,0.905246801674366,0.021430545631566142,0.003,0.01
5,direction,0.9480271771550178,0.008479736671230675,0.003,0.1
6,direction,0.958589555695653,0.008764197117656896,0.003,0.1
7,direction,0.9635201252996921,0.007527121732519028,0.003,0.1
8,direction,0.9795281246304512,0.003184415405438422,0.003,0.1
9,direction,0.9894073005765677,0.001589233340193234,0.005,0.1
10,direction,0.9906113667413592,0.001483650435397816,0.005,0.1
11,direction,0.9923694437369704,0.0008099037605153103,0.003,0.1
12,direction,0.9914556520059705,0.0011296229799482164,0.005,0.1
13,direction,0.991228588949889,0.0016828669042247173,0.005,0.1
14,direction,0.9921015235595405,0.0018015355246434098,0.003,0.1
15,direction,0.9915301602333784,0.0017972437156211901,0.005,0.1
16,direction,0.9921709569171071,0.0016490270778056425,0.005,0.1
17,direction,0.992362910695374,0.0006672129360182137,0.005,0.1
18,direction,0.9938698976300657,0.0005694351504947818,0.005,0.1
19,direction,0.9941146278753876,0.0006327298135818155,0.005,0.1
20,direction,0.9931430092081428,0.000484441436993782,0.005,0.1
21,direction,0.9927523978054523,0.000648778116957104,0.005,0.1
22,direction,0.9940171375870704,0.001780545463808618,0.005,0.01
23,direction,0.9933941980823875,0.0014999670526829982,0.005,0.01
0,acceleration,0.0,0.0,0.0001,0.01
1,acceleration,0.0,0.0,0.0001,0.01
2,acceleration,0.0,0.0,0.0001,0.01
3,acceleration,0.0,0.0,0.0001,0.01
4,acceleration,0.0,0.0,0.0001,0.01
5,acceleration,0.0,0.0,0.0001,0.01
6,acceleration,0.0,0.0,0.0001,0.01
7,acceleration,0.0,0.0,0.0001,0.01
8,acceleration,0.0,0.0,0.0001,0.01
9,acceleration,0.0,0.0,0.0001,0.01
10,acceleration,0.0,0.0,0.0001,0.01
11,acceleration,0.0,0.0,0.0001,0.01
12,acceleration,0.0,0.0,0.0001,0.01
13,acceleration,0.0,0.0,0.0001,0.01
14,acceleration,0.0,0.0,0.0001,0.01
15,acceleration,0.0,0.0,0.0001,0.01
16,acceleration,0.0,0.0,0.0001,0.01
17,acceleration,0.0,0.0,0.0001,0.01
18,acceleration,0.0,0.0,0.0001,0.01
19,acceleration,0.0,0.0,0.0001,0.01
20,acceleration,0.0,0.0,0.0001,0.01
21,acceleration,0.0,0.0,0.0001,0.01
22,acceleration,0.0,0.0,0.0001,0.01
23,acceleration,0.0,0.0,0.0001,0.01
