layer,clip_accuracy_mean,clip_accuracy_std,auc_mean,auc_std,relative_accuracy_mean,relative_accuracy_std
0,0.5,0.0,0.4999999999999999,5.551115123125783e-17,0.0,0.0
1,0.5,0.0,0.5045524691358024,0.002395705971645064,0.6888888888888889,0.1247219128924647
2,0.5,0.0,0.5029320987654321,0.001573771454812609,0.6444444444444444,0.027216552697590827
3,0.5083333333333333,0.01111111111111111,0.5237654320987655,0.028048237511398254,0.7333333333333333,0.0816496580927726
4,0.5027777777777778,0.005555555555555536,0.5376543209876543,0.021402268097411078,0.6555555555555557,0.1018350154434631
5,0.5055555555555555,0.011111111111111117,0.5310185185185186,0.022146002690036023,0.7555555555555556,0.05665577237325319
6,0.5083333333333333,0.01111111111111111,0.5399691358024692,0.026708678897046652,0.7,0.09686442096757052
7,0.5,0.0,0.5452160493827161,0.033143463586035926,0.7,0.11439589045541113
8,0.5027777777777778,0.005555555555555536,0.5408950617283951,0.027113982341382122,0.6888888888888889,0.05665577237325316
9,0.513888888888889,0.027777777777777766,0.5813271604938272,0.043614725982308034,0.7111111111111111,0.11331154474650633
10,0.5194444444444445,0.027216552697590858,0.5635802469135803,0.02614181133069099,0.7555555555555555,0.2006163342807532
11,0.5055555555555555,0.011111111111111117,0.5317901234567902,0.023724311065405488,0.7666666666666667,0.06478835438717004
12,0.5,0.0,0.5632716049382716,0.054954308243421915,0.8444444444444444,0.1547598697464902
13,0.49722222222222223,0.005555555555555558,0.5495370370370372,0.04377224432869649,0.7555555555555554,0.12957670877434
14,0.5,0.0,0.5350308641975309,0.026332424610853764,0.7777777777777778,0.09296222517045286
15,0.525,0.030932024237944566,0.5731481481481482,0.0405085978781988,0.8666666666666666,0.05665577237325314
16,0.5,0.0,0.5651234567901235,0.021314181074838925,0.8666666666666668,0.090267093384844
17,0.5333333333333333,0.04859126579037751,0.5763117283950617,0.04204248663938355,0.8333333333333334,0.09938079899999065
18,0.5,0.0,0.5492283950617283,0.02940776632136814,0.7777777777777778,0.14054567378526128
19,0.5305555555555556,0.03967460238079361,0.6057098765432098,0.06888492012551127,0.8666666666666668,0.0831479419283098
20,0.5083333333333333,0.016666666666666653,0.5606481481481482,0.03001771310638394,0.8444444444444444,0.11863420280034792
21,0.5,0.0,0.5648148148148148,0.029470864508869928,0.8555555555555555,0.0753592220347252
22,0.5166666666666667,0.020412414523193163,0.5580246913580247,0.041135734849439755,0.8111111111111111,0.11967032904743342
23,0.525,0.025458753860865768,0.5939814814814814,0.04326880901835398,0.8333333333333334,0.0785674201318386
24,0.5,0.0,0.5699074074074074,0.02549614373834984,0.7888888888888889,0.08164965809277258
25,0.5055555555555555,0.011111111111111117,0.6040123456790123,0.07843302522028922,0.8333333333333334,0.13608276348795434
26,0.5027777777777778,0.005555555555555536,0.5591049382716049,0.03297417389231311,0.7333333333333333,0.06478835438717004
27,0.5055555555555555,0.006804138174397693,0.5805555555555555,0.03602196974801279,0.8333333333333334,0.08606629658238704
28,0.5,0.0,0.5574074074074074,0.031470132304328574,0.7777777777777779,0.09938079899999064
29,0.525,0.04339027597725921,0.5921296296296297,0.07190364473304142,0.7555555555555556,0.11967032904743341
30,0.5027777777777778,0.005555555555555536,0.5842592592592593,0.04286235915156559,0.8555555555555557,0.11967032904743342
31,0.5,0.0,0.5660493827160494,0.05027786303791965,0.7555555555555555,0.0968644209675705
