run_name,variable,layer,layer_fraction,r2_mean,r2_std,best_lr_mode,best_wd_mode,grouping,direction_target,residual_capture,preprocessing,solver,feature_root
step6_spatial_sector_angle_ridge,speed,12,0.5217391304347826,0.9932680031999321,0.0015058636509789533,0.0,0.8,spatial_sector,angle,resid_pre,resize,ridge,/home/solee/pez/artifacts/features/resid_pre_resize
step6_spatial_sector_angle_ridge,speed,13,0.5652173913043478,0.9929412195664385,0.001873001756041529,0.0,0.8,spatial_sector,angle,resid_pre,resize,ridge,/home/solee/pez/artifacts/features/resid_pre_resize
step6_spatial_sector_angle_ridge,speed,14,0.6086956521739131,0.9927125380254316,0.0013836711329815537,0.0,0.8,spatial_sector,angle,resid_pre,resize,ridge,/home/solee/pez/artifacts/features/resid_pre_resize
step6_spatial_sector_angle_ridge,speed,15,0.6521739130434783,0.993179391844137,0.0010099272939579876,0.0,0.4,spatial_sector,angle,resid_pre,resize,ridge,/home/solee/pez/artifacts/features/resid_pre_resize
step6_spatial_sector_angle_ridge,speed,16,0.6956521739130435,0.9930697378144588,0.0012070150572511418,0.0,0.4,spatial_sector,angle,resid_pre,resize,ridge,/home/solee/pez/artifacts/features/resid_pre_resize
step6_spatial_sector_angle_ridge,speed,17,0.7391304347826086,0.9928663034185117,0.0013349788876523636,0.0,0.8,spatial_sector,angle,resid_pre,resize,ridge,/home/solee/pez/artifacts/features/resid_pre_resize
step6_spatial_sector_angle_ridge,speed,18,0.782608695652174,0.9935644721119313,0.0015969352236567004,0.0,0.4,spatial_sector,angle,resid_pre,resize,ridge,/home/solee/pez/artifacts/features/resid_pre_resize
step6_spatial_sector_angle_ridge,speed,19,0.8260869565217391,0.9950786561207909,0.0012531029603274713,0.0,0.4,spatial_sector,angle,resid_pre,resize,ridge,/home/solee/pez/artifacts/features/resid_pre_resize
step6_spatial_sector_angle_ridge,speed,20,0.8695652173913043,0.9941019807895668,0.001577132356618655,0.0,0.8,spatial_sector,angle,resid_pre,resize,ridge,/home/solee/pez/artifacts/features/resid_pre_resize
step6_spatial_sector_angle_ridge,speed,21,0.9130434782608695,0.9935754398398817,0.0014781956352469972,0.0,0.4,spatial_sector,angle,resid_pre,resize,ridge,/home/solee/pez/artifacts/features/resid_pre_resize
step6_spatial_sector_angle_ridge,speed,22,0.9565217391304348,0.9914533484874685,0.001382211568512115,0.0,0.8,spatial_sector,angle,resid_pre,resize,ridge,/home/solee/pez/artifacts/features/resid_pre_resize
step6_spatial_sector_angle_ridge,speed,23,1.0,0.9912864963513197,0.0010651291485649676,0.0,0.8,spatial_sector,angle,resid_pre,resize,ridge,/home/solee/pez/artifacts/features/resid_pre_resize
step6_spatial_sector_angle_ridge,direction,0,0.0,0.01349802274375882,0.06335767133655916,0.0,0.8,spatial_sector,angle,resid_pre,resize,ridge,/home/solee/pez/artifacts/features/resid_pre_resize
step6_spatial_sector_angle_ridge,direction,1,0.043478260869565216,0.6197124300415894,0.03063545382489406,0.0,0.1,spatial_sector,angle,resid_pre,resize,ridge,/home/solee/pez/artifacts/features/resid_pre_resize
step6_spatial_sector_angle_ridge,direction,2,0.08695652173913043,0.7168560867528154,0.032920904941293495,0.0,0.1,spatial_sector,angle,resid_pre,resize,ridge,/home/solee/pez/artifacts/features/resid_pre_resize
