label,run_name,preprocessing,l0_direction_r2,l1_l6_direction_mean,direction_first_ge_0p8_layer,peak_direction_r2,peak_layer_index
resize_best,step3_spatial_sector_angle,resize,-0.0043440171188976,0.7072229506663095,8,0.9701523737788438,12
eval_preproc_check,step8_spatial_sector_angle_eval_preproc,eval_preproc,0.013628504455879,0.7158011175847331,6,0.9750856111971428,15
