layer,accuracy_mean,accuracy_std,auc_mean,auc_std,relative_accuracy_mean,relative_accuracy_std,best_lr_mode,best_wd_mode,model
0,0.5166666666666667,0.0103934927410387,0.5007716049382716,0.0009760116235087,0.6222222222222223,0.0816496580927726,0.001,0.01,Huge
1,0.5333333333333333,0.0141639430933133,0.5027777777777778,0.0050148385213801,0.7,0.1247219128924647,0.003,0.4,Huge
2,0.5277777777777778,0.0152145154862546,0.5075617283950618,0.0050100873706011,0.6666666666666666,0.1266861583443486,0.003,0.4,Huge
3,0.5583333333333333,0.0161970885967925,0.5436728395061727,0.0298546305214555,0.5555555555555556,0.1054092553389459,0.003,0.4,Huge
4,0.5722222222222222,0.026931554763424,0.5655864197530864,0.0326781751421393,0.6,0.0647883543871699,0.0001,0.4,Huge
5,0.5638888888888889,0.0257600513763769,0.5648148148148148,0.0283295675164905,0.6333333333333334,0.0968644209675705,0.0003,0.8,Huge
6,0.5694444444444444,0.0263523138347364,0.5614197530864198,0.0264947159654395,0.7777777777777778,0.0351364184463153,0.001,0.01,Huge
7,0.5722222222222222,0.0254587538608657,0.5731481481481482,0.0331391520542111,0.9222222222222222,0.0566557723732531,0.003,0.01,Huge
8,0.5972222222222222,0.0382890243113617,0.595216049382716,0.0456451117112962,0.9666666666666666,0.0272165526975908,0.0001,0.01,Huge
9,0.6555555555555556,0.026931554763424,0.6591049382716049,0.0301514934797784,0.977777777777778,0.0272165526975908,0.003,0.01,Huge
10,0.6944444444444444,0.0473038510164622,0.7251543209876543,0.0557212036636225,1.0,0.0,0.0003,0.01,Huge
11,0.725,0.0598351645237167,0.7711419753086421,0.0482054897547315,1.0,0.0,0.005,0.01,Huge
12,0.7472222222222223,0.047628967220784,0.7807098765432098,0.0656334254213565,1.0,0.0,0.003,0.8,Huge
13,0.7694444444444445,0.0618640484758891,0.819135802469136,0.0634005761723417,1.0,0.0,0.003,0.01,Huge
14,0.775,0.0507657413402696,0.8331790123456791,0.0586468484005143,0.9888888888888888,0.0222222222222222,0.001,0.1,Huge
15,0.7916666666666666,0.0362177911400147,0.8348765432098764,0.0476774435363438,0.9888888888888888,0.0222222222222222,0.001,0.01,Huge
16,0.7861111111111112,0.0417591566065914,0.8469135802469137,0.062380047976993,0.9888888888888888,0.0222222222222222,0.003,0.01,Huge
17,0.7972222222222223,0.0477906959280145,0.8223765432098766,0.0599143160733562,0.9666666666666666,0.0444444444444444,0.001,0.01,Huge
18,0.7527777777777779,0.0537196655717047,0.7935185185185187,0.0715050921581252,0.9888888888888888,0.0222222222222222,0.003,0.01,Huge
19,0.7694444444444444,0.0257600513763769,0.8060185185185185,0.0323765284986255,0.9888888888888888,0.0222222222222222,0.003,0.01,Huge
20,0.7694444444444445,0.0311804782231161,0.813425925925926,0.0353101797558593,0.9888888888888888,0.0222222222222222,0.003,0.01,Huge
21,0.7555555555555555,0.0398686113733536,0.7927469135802468,0.0537462581507166,0.9888888888888888,0.0222222222222222,0.001,0.4,Huge
22,0.7416666666666666,0.0272165526975908,0.7594135802469136,0.0342314423829129,0.9888888888888888,0.0222222222222222,0.001,0.8,Huge
23,0.736111111111111,0.0473038510164622,0.7518518518518518,0.0542907288057829,0.977777777777778,0.0272165526975908,0.0001,0.01,Huge
24,0.7333333333333334,0.0238953479640072,0.7578703703703704,0.0368384594231192,0.9888888888888888,0.0222222222222222,0.0003,0.4,Huge
25,0.7583333333333333,0.0141639430933132,0.7635802469135802,0.0244519644873693,1.0,0.0,0.003,0.01,Huge
26,0.7444444444444445,0.0335640165933182,0.7671296296296297,0.0340745493346708,0.9888888888888888,0.0222222222222222,0.005,0.01,Huge
27,0.7277777777777776,0.0643102050155012,0.7614197530864197,0.0538321509182844,0.9888888888888888,0.0222222222222222,0.001,0.01,Huge
28,0.7555555555555555,0.0311804782231161,0.792283950617284,0.0465231069661766,0.977777777777778,0.0272165526975908,0.003,0.01,Huge
29,0.7388888888888888,0.0442704929180811,0.7683641975308642,0.0525108766431143,0.977777777777778,0.0272165526975908,0.001,0.01,Huge
30,0.7166666666666667,0.0417591566065914,0.7401234567901235,0.063518413538168,0.9666666666666666,0.0444444444444444,0.003,0.01,Huge
31,0.7194444444444443,0.0406353856620216,0.7523148148148149,0.0524191846471042,0.977777777777778,0.0272165526975908,0.005,0.01,Huge
0,0.5138888888888888,0.0087841046115788,0.5003086419753086,0.0006172839506172,0.7,0.0444444444444444,0.003,0.01,Giant
1,0.5249999999999999,0.0103934927410387,0.5044753086419753,0.0033241758068731,0.7555555555555556,0.1088662107903634,0.005,0.8,Giant
2,0.5333333333333333,0.0188398055086813,0.504783950617284,0.0057824055540725,0.6777777777777778,0.1237280969517782,0.003,0.1,Giant
3,0.5333333333333333,0.0207869854820774,0.5132716049382715,0.0166452193965973,0.6555555555555556,0.1547598697464902,0.005,0.4,Giant
4,0.5638888888888889,0.0272165526975908,0.5459876543209876,0.0260093821370783,0.6222222222222222,0.1133115447465063,0.005,0.1,Giant
5,0.5555555555555556,0.0291335791158375,0.549537037037037,0.0360345289032826,0.6222222222222223,0.0647883543871699,0.003,0.01,Giant
6,0.5888888888888889,0.0242161052418926,0.5799382716049383,0.0394428263351716,0.7,0.0753592220347252,0.001,0.01,Giant
7,0.5833333333333334,0.0248451997499976,0.5966049382716049,0.0338501600193164,0.7333333333333334,0.0816496580927726,0.0001,0.4,Giant
8,0.6,0.0238953479640072,0.6188271604938271,0.0409401684619151,0.8111111111111111,0.0566557723732531,0.001,0.01,Giant
9,0.6305555555555555,0.0335640165933182,0.6547839506172839,0.0466998869282345,0.9666666666666668,0.0666666666666666,0.001,0.1,Giant
10,0.675,0.0257600513763769,0.6802469135802468,0.0401489709951667,0.9555555555555556,0.0415739709641549,0.003,0.1,Giant
11,0.6527777777777778,0.0382890243113617,0.671604938271605,0.0494323631608227,0.9666666666666668,0.0272165526975908,0.003,0.01,Giant
12,0.6694444444444445,0.0386899674366225,0.667283950617284,0.0518467994305079,0.9666666666666668,0.0272165526975908,0.003,0.1,Giant
13,0.6527777777777778,0.0316715395860871,0.6540123456790123,0.0441277079687768,0.977777777777778,0.0272165526975908,0.001,0.01,Giant
14,0.6583333333333332,0.0225667733462109,0.674074074074074,0.0323065744678772,0.9333333333333332,0.0415739709641549,0.005,0.01,Giant
15,0.6888888888888889,0.0672428802050567,0.7108024691358025,0.0926393914654548,0.9666666666666666,0.0272165526975908,0.001,0.01,Giant
16,0.7388888888888887,0.0731774437351083,0.7641975308641975,0.0824983892264916,0.888888888888889,0.0496903994999953,0.005,0.01,Giant
17,0.7222222222222222,0.0686060501957137,0.7529320987654321,0.0791659146114977,0.888888888888889,0.0496903994999953,0.003,0.01,Giant
18,0.75,0.0614887322810518,0.7942901234567902,0.0832426919027744,0.9,0.0415739709641548,0.005,0.1,Giant
19,0.7222222222222221,0.0582671582316751,0.754783950617284,0.0818605566754623,0.888888888888889,0.0496903994999953,0.003,0.4,Giant
20,0.7611111111111111,0.0598351645237167,0.7794753086419752,0.0787965441282799,0.888888888888889,0.0496903994999953,0.005,0.4,Giant
21,0.7583333333333333,0.0694999777955378,0.7808641975308642,0.0906863971814122,0.8777777777777779,0.0544331053951817,0.001,0.4,Giant
22,0.7472222222222221,0.0591868770907291,0.7799382716049383,0.0832953159737154,0.9,0.0415739709641548,0.001,0.01,Giant
23,0.7083333333333334,0.0765780486227234,0.7501543209876542,0.0911518569601432,0.9222222222222222,0.0444444444444444,0.003,0.01,Giant
24,0.7305555555555555,0.0516696534381618,0.7666666666666667,0.0587770536542531,0.9,0.0415739709641548,0.003,0.01,Giant
25,0.7166666666666666,0.0573326873348619,0.7541666666666667,0.0735879755034636,0.9444444444444444,0.0608580619450184,0.003,0.01,Giant
26,0.7305555555555554,0.0453041845286113,0.753395061728395,0.0688254304161676,0.9555555555555556,0.0222222222222222,0.005,0.1,Giant
27,0.7333333333333332,0.0537196655717047,0.7708333333333333,0.0785613575969993,0.9555555555555556,0.0415739709641549,0.001,0.4,Giant
28,0.7416666666666666,0.0694999777955377,0.7570987654320988,0.0787421232781854,0.977777777777778,0.0272165526975908,0.005,0.4,Giant
29,0.7666666666666667,0.049222347629637,0.7949074074074074,0.0672481924462547,0.9888888888888888,0.0222222222222222,0.005,0.01,Giant
30,0.7777777777777778,0.0519674637051936,0.8023148148148149,0.0627299154740527,0.9888888888888888,0.0222222222222222,0.005,0.01,Giant
31,0.775,0.0571979452277055,0.8189814814814815,0.0702246976087813,0.977777777777778,0.0272165526975908,0.001,0.01,Giant
32,0.7749999999999999,0.049222347629637,0.8203703703703704,0.0727740865460424,0.977777777777778,0.0272165526975908,0.005,0.01,Giant
33,0.7722222222222223,0.0444444444444444,0.8220679012345679,0.0745157869153843,0.9666666666666666,0.0272165526975908,0.001,0.01,Giant
34,0.7861111111111111,0.0417591566065914,0.8270061728395062,0.0648871583332757,0.977777777777778,0.0272165526975908,0.0003,0.1,Giant
35,0.7888888888888889,0.0653811238663323,0.8257716049382715,0.0888805830310138,0.977777777777778,0.0272165526975908,0.005,0.01,Giant
36,0.7583333333333334,0.0694999777955378,0.818672839506173,0.0675160934711874,0.977777777777778,0.0272165526975908,0.003,0.01,Giant
37,0.788888888888889,0.0344713156833079,0.8253086419753087,0.0398692087051395,0.977777777777778,0.0272165526975908,0.005,0.01,Giant
38,0.775,0.0376796110173625,0.8080246913580247,0.0431723823217583,1.0,0.0,0.003,0.01,Giant
39,0.7444444444444445,0.0559706713322496,0.788888888888889,0.0599445172268246,0.9888888888888888,0.0222222222222222,0.0001,0.1,Giant
