layer,accuracy_mean,accuracy_std,auc_mean,auc_std,relative_accuracy_mean,relative_accuracy_std,best_lr_mode,best_wd_mode,model
0,0.5194444444444444,0.0068041381743977,0.5016975308641975,0.0020356336355359,0.7333333333333334,0.0737027731190088,0.001,0.01,Large
1,0.5444444444444445,0.0204124145231931,0.537037037037037,0.0264650370536694,0.788888888888889,0.1186342028003478,0.003,0.8,Large
2,0.5638888888888889,0.0166666666666666,0.5521604938271605,0.033723991090391,0.7,0.1030402055055078,0.0001,0.01,Large
3,0.5694444444444444,0.0196418550329596,0.5682098765432098,0.0385666642757014,0.7222222222222222,0.0993807989999906,0.0001,0.1,Large
4,0.5638888888888889,0.0242161052418926,0.5643518518518519,0.050725850898708,0.788888888888889,0.0415739709641549,0.0001,0.1,Large
5,0.575,0.0285989726138527,0.5740740740740741,0.029951791525331,0.888888888888889,0.0496903994999953,0.005,0.1,Large
6,0.6472222222222221,0.0545746741788569,0.6506172839506174,0.0655190285580112,0.9555555555555556,0.06478835438717,0.003,0.01,Large
7,0.7361111111111112,0.0316715395860871,0.7310185185185184,0.0491279113025671,0.9888888888888888,0.0222222222222222,0.001,0.01,Large
8,0.736111111111111,0.0519674637051936,0.7580246913580246,0.0558774113013095,1.0,0.0,0.001,0.01,Large
9,0.7611111111111111,0.0451335466924219,0.7646604938271606,0.0575391757361775,0.9888888888888888,0.0222222222222222,0.003,0.1,Large
10,0.736111111111111,0.0541488574711609,0.770216049382716,0.0606726853262944,0.9888888888888888,0.0222222222222222,0.005,0.1,Large
11,0.7638888888888888,0.056245713142546,0.7811728395061729,0.0698932684036531,0.9888888888888888,0.0222222222222222,0.003,0.01,Large
12,0.725,0.0507657413402696,0.763425925925926,0.0622673233321129,0.9888888888888888,0.0222222222222222,0.003,0.01,Large
13,0.7305555555555555,0.0566557723732531,0.7387345679012347,0.071842345368314,1.0,0.0,0.001,0.8,Large
14,0.7388888888888888,0.0386899674366225,0.7521604938271604,0.0488917530960463,0.9888888888888888,0.0222222222222222,0.005,0.1,Large
15,0.7333333333333334,0.0238953479640072,0.7564814814814815,0.0390910627550467,1.0,0.0,0.0003,0.4,Large
16,0.7666666666666667,0.026931554763424,0.7882716049382716,0.041502304995274,1.0,0.0,0.003,0.1,Large
17,0.7666666666666667,0.0459804037701301,0.8029320987654321,0.0524432579612828,1.0,0.0,0.001,0.01,Large
18,0.7694444444444445,0.0559706713322496,0.8004629629629629,0.0654812155507327,0.9888888888888888,0.0222222222222222,0.001,0.01,Large
19,0.7638888888888887,0.041201102706087,0.7854938271604939,0.0577766731191223,0.9888888888888888,0.0222222222222222,0.003,0.1,Large
20,0.7277777777777777,0.0435677420593281,0.7603395061728395,0.039851284856829,1.0,0.0,0.003,0.1,Large
21,0.7388888888888889,0.0459804037701301,0.7657407407407407,0.05448995186677,0.9666666666666666,0.0272165526975908,0.0003,0.8,Large
22,0.7361111111111112,0.0555555555555555,0.7766975308641976,0.0622003562402594,0.9666666666666666,0.0272165526975908,0.001,0.01,Large
23,0.7277777777777777,0.0493788578739754,0.7515432098765433,0.0543639350426189,0.977777777777778,0.0272165526975908,0.001,0.4,Large
