run_name,variable,layer,layer_fraction,r2_mean,r2_std,best_lr_mode,best_wd_mode,grouping,direction_target,residual_capture,preprocessing,solver,feature_root
step7_spatial_sector_angle_resid_post,direction,9,0.391304347826087,0.935559635645881,0.008843675864459647,0.001,0.1,spatial_sector,angle,resid_post,resize,trainable,/home/solee/pez/artifacts/features/resid_post_resize
step7_spatial_sector_angle_resid_post,direction,10,0.43478260869565216,0.9344939587599865,0.01527236446424431,0.005,0.1,spatial_sector,angle,resid_post,resize,trainable,/home/solee/pez/artifacts/features/resid_post_resize
step7_spatial_sector_angle_resid_post,direction,11,0.4782608695652174,0.9701523737788438,0.005487393226423288,0.005,0.1,spatial_sector,angle,resid_post,resize,trainable,/home/solee/pez/artifacts/features/resid_post_resize
step7_spatial_sector_angle_resid_post,direction,12,0.5217391304347826,0.9657477689874462,0.0050135389614709685,0.005,0.1,spatial_sector,angle,resid_post,resize,trainable,/home/solee/pez/artifacts/features/resid_post_resize
step7_spatial_sector_angle_resid_post,direction,13,0.5652173913043478,0.9700963871910938,0.007758228533911493,0.005,0.1,spatial_sector,angle,resid_post,resize,trainable,/home/solee/pez/artifacts/features/resid_post_resize
step7_spatial_sector_angle_resid_post,direction,14,0.6086956521739131,0.9678450669634608,0.004996355080220667,0.005,0.1,spatial_sector,angle,resid_post,resize,trainable,/home/solee/pez/artifacts/features/resid_post_resize
step7_spatial_sector_angle_resid_post,direction,15,0.6521739130434783,0.962634842443882,0.00859383135462642,0.005,0.1,spatial_sector,angle,resid_post,resize,trainable,/home/solee/pez/artifacts/features/resid_post_resize
step7_spatial_sector_angle_resid_post,direction,16,0.6956521739130435,0.9595859833096394,0.009009920828843897,0.005,0.01,spatial_sector,angle,resid_post,resize,trainable,/home/solee/pez/artifacts/features/resid_post_resize
step7_spatial_sector_angle_resid_post,direction,17,0.7391304347826086,0.9538437878415686,0.003716329410117126,0.005,0.01,spatial_sector,angle,resid_post,resize,trainable,/home/solee/pez/artifacts/features/resid_post_resize
step7_spatial_sector_angle_resid_post,direction,18,0.782608695652174,0.9594355163066087,0.007127289345584521,0.003,0.01,spatial_sector,angle,resid_post,resize,trainable,/home/solee/pez/artifacts/features/resid_post_resize
step7_spatial_sector_angle_resid_post,direction,19,0.8260869565217391,0.9576722385489601,0.0070342952573336105,0.005,0.1,spatial_sector,angle,resid_post,resize,trainable,/home/solee/pez/artifacts/features/resid_post_resize
step7_spatial_sector_angle_resid_post,direction,20,0.8695652173913043,0.9408335344404859,0.014031238402103479,0.003,0.01,spatial_sector,angle,resid_post,resize,trainable,/home/solee/pez/artifacts/features/resid_post_resize
step7_spatial_sector_angle_resid_post,direction,21,0.9130434782608695,0.9590060666080799,0.004497176707016883,0.005,0.01,spatial_sector,angle,resid_post,resize,trainable,/home/solee/pez/artifacts/features/resid_post_resize
step7_spatial_sector_angle_resid_post,direction,22,0.9565217391304348,0.9544713028410208,0.009528023364421526,0.005,0.1,spatial_sector,angle,resid_post,resize,trainable,/home/solee/pez/artifacts/features/resid_post_resize
step7_spatial_sector_angle_resid_post,direction,23,1.0,0.951584892904996,0.008701981656101108,0.005,0.01,spatial_sector,angle,resid_post,resize,trainable,/home/solee/pez/artifacts/features/resid_post_resize
step7_spatial_sector_angle_resid_post,acceleration,0,0.0,0.9169778636865236,0.014437770839804484,0.001,0.01,spatial_sector,angle,resid_post,resize,trainable,/home/solee/pez/artifacts/features/resid_post_resize
step7_spatial_sector_angle_resid_post,acceleration,1,0.043478260869565216,0.8671818065079027,0.034200931970253146,0.005,0.1,spatial_sector,angle,resid_post,resize,trainable,/home/solee/pez/artifacts/features/resid_post_resize
step7_spatial_sector_angle_resid_post,acceleration,2,0.08695652173913043,0.9069202223331223,0.02496607778533365,0.005,0.01,spatial_sector,angle,resid_post,resize,trainable,/home/solee/pez/artifacts/features/resid_post_resize
step7_spatial_sector_angle_resid_post,acceleration,3,0.13043478260869565,0.8773448159151552,0.04629279430533344,0.005,0.4,spatial_sector,angle,resid_post,resize,trainable,/home/solee/pez/artifacts/features/resid_post_resize
step7_spatial_sector_angle_resid_post,acceleration,4,0.17391304347826086,0.9171328151121709,0.019850454866505735,0.003,0.4,spatial_sector,angle,resid_post,resize,trainable,/home/solee/pez/artifacts/features/resid_post_resize
step7_spatial_sector_angle_resid_post,acceleration,5,0.21739130434782608,0.9532006667765227,0.009991204221475543,0.005,0.8,spatial_sector,angle,resid_post,resize,trainable,/home/solee/pez/artifacts/features/resid_post_resize
step7_spatial_sector_angle_resid_post,acceleration,6,0.2608695652173913,0.9599255938856116,0.009260976652931855,0.005,0.8,spatial_sector,angle,resid_post,resize,trainable,/home/solee/pez/artifacts/features/resid_post_resize
step7_spatial_sector_angle_resid_post,acceleration,7,0.30434782608695654,0.9666144590889394,0.008719044651123676,0.003,0.8,spatial_sector,angle,resid_post,resize,trainable,/home/solee/pez/artifacts/features/resid_post_resize
step7_spatial_sector_angle_resid_post,acceleration,8,0.34782608695652173,0.9812931828624205,0.002510360353174827,0.005,0.4,spatial_sector,angle,resid_post,resize,trainable,/home/solee/pez/artifacts/features/resid_post_resize
step7_spatial_sector_angle_resid_post,acceleration,9,0.391304347826087,0.9816561513210849,0.0012355642817441905,0.005,0.4,spatial_sector,angle,resid_post,resize,trainable,/home/solee/pez/artifacts/features/resid_post_resize
step7_spatial_sector_angle_resid_post,acceleration,10,0.43478260869565216,0.9853316003722318,0.0007179690190245656,0.005,0.4,spatial_sector,angle,resid_post,resize,trainable,/home/solee/pez/artifacts/features/resid_post_resize
step7_spatial_sector_angle_resid_post,acceleration,11,0.4782608695652174,0.982935121193977,0.002984742948683706,0.005,0.4,spatial_sector,angle,resid_post,resize,trainable,/home/solee/pez/artifacts/features/resid_post_resize
step7_spatial_sector_angle_resid_post,acceleration,12,0.5217391304347826,0.9840593569170858,0.0037141466040489777,0.005,0.4,spatial_sector,angle,resid_post,resize,trainable,/home/solee/pez/artifacts/features/resid_post_resize
step7_spatial_sector_angle_resid_post,acceleration,13,0.5652173913043478,0.98300618269983,0.003129267840291881,0.005,0.8,spatial_sector,angle,resid_post,resize,trainable,/home/solee/pez/artifacts/features/resid_post_resize
step7_spatial_sector_angle_resid_post,acceleration,14,0.6086956521739131,0.9816223282420646,0.007460454426354881,0.005,0.4,spatial_sector,angle,resid_post,resize,trainable,/home/solee/pez/artifacts/features/resid_post_resize
step7_spatial_sector_angle_resid_post,acceleration,15,0.6521739130434783,0.9817065056405475,0.0040608463153765035,0.005,0.4,spatial_sector,angle,resid_post,resize,trainable,/home/solee/pez/artifacts/features/resid_post_resize
step7_spatial_sector_angle_resid_post,acceleration,16,0.6956521739130435,0.9840792282526453,0.004363079047676923,0.005,0.1,spatial_sector,angle,resid_post,resize,trainable,/home/solee/pez/artifacts/features/resid_post_resize
step7_spatial_sector_angle_resid_post,acceleration,17,0.7391304347826086,0.9812398780692023,0.005787751463903641,0.005,0.4,spatial_sector,angle,resid_post,resize,trainable,/home/solee/pez/artifacts/features/resid_post_resize
step7_spatial_sector_angle_resid_post,acceleration,18,0.782608695652174,0.9838734171898477,0.00406921952981871,0.005,0.4,spatial_sector,angle,resid_post,resize,trainable,/home/solee/pez/artifacts/features/resid_post_resize
step7_spatial_sector_angle_resid_post,acceleration,19,0.8260869565217391,0.9833596040507582,0.005414152422477965,0.005,0.1,spatial_sector,angle,resid_post,resize,trainable,/home/solee/pez/artifacts/features/resid_post_resize
step7_spatial_sector_angle_resid_post,acceleration,20,0.8695652173913043,0.9824294412753198,0.0032076564904032095,0.005,0.1,spatial_sector,angle,resid_post,resize,trainable,/home/solee/pez/artifacts/features/resid_post_resize
step7_spatial_sector_angle_resid_post,acceleration,21,0.9130434782608695,0.9835032253556537,0.0031065807880638232,0.005,0.1,spatial_sector,angle,resid_post,resize,trainable,/home/solee/pez/artifacts/features/resid_post_resize
step7_spatial_sector_angle_resid_post,acceleration,22,0.9565217391304348,0.9823087432349682,0.0038168561152961814,0.005,0.1,spatial_sector,angle,resid_post,resize,trainable,/home/solee/pez/artifacts/features/resid_post_resize
step7_spatial_sector_angle_resid_post,acceleration,23,1.0,0.981098207868792,0.00445837620720423,0.005,0.1,spatial_sector,angle,resid_post,resize,trainable,/home/solee/pez/artifacts/features/resid_post_resize
