layer,accuracy_mean,accuracy_std,auc_mean,auc_std,best_lr_mode,best_wd_mode
0,0.5361111111111111,0.006804138174397694,0.5041666666666668,0.0013453391801051368,0.001,0.4
1,0.5611111111111111,0.014163943093313307,0.5445987654320987,0.027984484672961496,0.005,0.01
2,0.5833333333333333,0.02151657414559677,0.5740740740740741,0.03394009376746575,0.0003,0.8
3,0.5777777777777778,0.025760051376376974,0.571141975308642,0.03943014482198642,0.0003,0.4
4,0.5861111111111111,0.02389534796400729,0.5762345679012346,0.031382226735119374,0.001,0.4
5,0.5833333333333333,0.026352313834736484,0.5762345679012346,0.026601464927522318,0.001,0.4
6,0.6555555555555556,0.04427049291808118,0.654320987654321,0.05823445143244818,0.005,0.01
7,0.7388888888888889,0.03447131568330792,0.7401234567901234,0.051998158520850726,0.003,0.01
8,0.7388888888888888,0.049222347629637085,0.7506172839506172,0.06119444997064086,0.001,0.1
9,0.7611111111111111,0.04513354669242197,0.7711419753086421,0.06122790933530992,0.005,0.1
10,0.736111111111111,0.05414885747116092,0.774537037037037,0.05733891772656643,0.005,0.1
11,0.7638888888888888,0.056245713142546075,0.7816358024691359,0.06907480499177492,0.003,0.01
12,0.725,0.05076574134026962,0.7652777777777778,0.06315745499403033,0.005,0.01
13,0.736111111111111,0.05270462766947301,0.7393518518518519,0.07151308497728974,0.001,0.8
14,0.7388888888888888,0.03868996743662255,0.7574074074074074,0.044807863454346855,0.005,0.1
15,0.7333333333333334,0.023895347964007295,0.7580246913580247,0.038433672182677424,0.001,0.1
16,0.7666666666666667,0.026931554763424043,0.7941358024691357,0.03816255371460913,0.003,0.01
17,0.7666666666666667,0.04598040377013013,0.8040123456790124,0.05125687451337971,0.001,0.01
18,0.7722222222222221,0.05166965343816188,0.8020061728395061,0.06340433233091822,0.001,0.01
19,0.7666666666666666,0.04063538566202167,0.7896604938271604,0.05918888890176426,0.001,0.1
20,0.7333333333333333,0.04063538566202165,0.7728395061728395,0.03518586202511225,0.005,0.4
21,0.7388888888888889,0.045980403770130136,0.7717592592592594,0.06546084565350263,0.0003,0.8
22,0.7444444444444446,0.04444444444444443,0.7844135802469135,0.05576008305014331,0.005,0.01
23,0.7361111111111112,0.04564354645876384,0.774537037037037,0.04239026465378672,0.001,0.01
