layer,accuracy_mean,accuracy_std,auc_mean,auc_std,relative_accuracy_mean,relative_accuracy_std,best_lr_mode,best_wd_mode
0,0.5194444444444444,0.0068041381743977475,0.5016975308641975,0.0020356336355359314,0.7333333333333334,0.07370277311900887,0.001,0.01
1,0.5444444444444445,0.020412414523193163,0.537037037037037,0.0264650370536694,0.788888888888889,0.11863420280034788,0.003,0.8
2,0.5638888888888889,0.016666666666666653,0.5521604938271605,0.03372399109039108,0.7,0.10304020550550781,0.0001,0.01
3,0.5694444444444444,0.019641855032959663,0.5682098765432098,0.03856666427570149,0.7222222222222222,0.09938079899999067,0.0001,0.1
4,0.5638888888888889,0.02421610524189263,0.5643518518518519,0.050725850898708014,0.788888888888889,0.041573970964154924,0.0001,0.1
5,0.575,0.02859897261385279,0.5740740740740741,0.029951791525331062,0.888888888888889,0.0496903994999953,0.005,0.1
6,0.6472222222222221,0.05457467417885695,0.6506172839506174,0.06551902855801121,0.9555555555555555,0.06478835438717,0.003,0.01
7,0.7361111111111112,0.03167153958608714,0.7310185185185184,0.04912791130256714,0.9888888888888889,0.022222222222222233,0.001,0.01
8,0.736111111111111,0.05196746370519362,0.7580246913580246,0.05587741130130952,1.0,0.0,0.001,0.01
9,0.7611111111111111,0.04513354669242197,0.7646604938271606,0.05753917573617751,0.9888888888888889,0.022222222222222233,0.003,0.1
10,0.736111111111111,0.05414885747116092,0.770216049382716,0.06067268532629446,0.9888888888888889,0.022222222222222233,0.005,0.1
11,0.7638888888888888,0.056245713142546075,0.7811728395061729,0.06989326840365319,0.9888888888888889,0.022222222222222233,0.003,0.01
12,0.725,0.05076574134026962,0.763425925925926,0.06226732333211291,0.9888888888888889,0.022222222222222233,0.003,0.01
13,0.7305555555555555,0.05665577237325318,0.7387345679012347,0.07184234536831408,1.0,0.0,0.001,0.8
14,0.7388888888888888,0.03868996743662255,0.7521604938271604,0.04889175309604631,0.9888888888888889,0.022222222222222233,0.005,0.1
15,0.7333333333333334,0.023895347964007295,0.7564814814814815,0.039091062755046785,1.0,0.0,0.0003,0.4
16,0.7666666666666667,0.026931554763424043,0.7882716049382716,0.04150230499527403,1.0,0.0,0.003,0.1
17,0.7666666666666667,0.04598040377013013,0.8029320987654321,0.052443257961282894,1.0,0.0,0.001,0.01
18,0.7694444444444445,0.05597067133224967,0.8004629629629629,0.06548121555073275,0.9888888888888889,0.022222222222222233,0.001,0.01
19,0.7638888888888887,0.04120110270608704,0.7854938271604939,0.057776673119122345,0.9888888888888889,0.022222222222222233,0.003,0.1
20,0.7277777777777777,0.04356774205932812,0.7603395061728395,0.03985128485682901,1.0,0.0,0.003,0.1
21,0.7388888888888889,0.045980403770130136,0.7657407407407407,0.05448995186677009,0.9666666666666666,0.027216552697590882,0.0003,0.8
22,0.7361111111111112,0.05555555555555554,0.7766975308641976,0.06220035624025945,0.9666666666666666,0.027216552697590882,0.001,0.01
23,0.7277777777777777,0.04937885787397549,0.7515432098765433,0.05436393504261898,0.9777777777777779,0.027216552697590882,0.001,0.4
