layer,clip_accuracy_mean,clip_accuracy_std,auc_mean,auc_std,relative_accuracy_mean,relative_accuracy_std
0,0.5,0.0,0.4999999999999999,5.551115123125783e-17,0.0,0.0
1,0.5,0.0,0.503780864197531,0.004186623446373634,0.8,0.07535922203472517
2,0.5,0.0,0.5012345679012344,0.0026550386626674875,0.6666666666666667,0.07027283689263063
3,0.5,0.0,0.5020833333333333,0.0018837277184774338,0.6777777777777778,0.07370277311900887
4,0.5,0.0,0.5362654320987654,0.019317881263316176,0.7,0.08314794192830981
5,0.5055555555555555,0.011111111111111117,0.5222222222222223,0.011323417486323525,0.7333333333333333,0.08164965809277264
6,0.525,0.0376796110173626,0.5570987654320988,0.04227662818457629,0.7666666666666666,0.08164965809277261
7,0.5277777777777778,0.030429030972509243,0.5731481481481482,0.027216552697590855,0.7444444444444445,0.0753592220347252
8,0.525,0.0376796110173626,0.5854938271604938,0.056678886629901636,0.6888888888888889,0.0753592220347252
9,0.5277777777777777,0.024845199749997673,0.5853395061728395,0.03843367218267742,0.7777777777777778,0.09296222517045283
10,0.525,0.0376796110173626,0.5793209876543209,0.07139476658856257,0.7222222222222222,0.04969039949999535
11,0.5333333333333334,0.04444444444444447,0.5618827160493828,0.029456315385327253,0.7444444444444445,0.05665577237325319
12,0.5055555555555555,0.011111111111111117,0.5887345679012347,0.036207926563734755,0.7666666666666666,0.10772621905369618
13,0.5166666666666667,0.03333333333333335,0.538888888888889,0.025294523312714076,0.711111111111111,0.041573970964154924
14,0.5027777777777778,0.005555555555555536,0.5555555555555556,0.04768992944556311,0.7555555555555555,0.10304020550550783
15,0.5361111111111112,0.04444444444444445,0.5617283950617284,0.06648172507033794,0.8555555555555555,0.056655772373253144
16,0.5055555555555555,0.011111111111111117,0.5626543209876544,0.03813446156653677,0.7777777777777778,0.060858061945018485
17,0.5055555555555555,0.011111111111111117,0.5530864197530865,0.03662775401207272,0.7888888888888889,0.11331154474650633
18,0.513888888888889,0.027777777777777766,0.5433641975308642,0.03564246921790633,0.8,0.10886621079036347
19,0.5055555555555555,0.011111111111111117,0.5447530864197531,0.011681599301096024,0.7555555555555555,0.0666666666666667
20,0.49722222222222223,0.005555555555555558,0.562037037037037,0.020868169320255266,0.7999999999999999,0.1515353521887317
21,0.5,0.0,0.5638888888888889,0.02672650607757718,0.8777777777777779,0.05443310539518172
22,0.5,0.0,0.5679783950617283,0.015432870351081233,0.7777777777777779,0.12171612389003691
23,0.5,0.0,0.5804012345679013,0.029363192497016157,0.8111111111111111,0.11439589045541111
24,0.5111111111111111,0.013608276348795441,0.5353395061728394,0.02862810301563908,0.7444444444444446,0.08314794192830981
25,0.5,0.0,0.5567901234567901,0.0366576505105568,0.788888888888889,0.13333333333333333
26,0.5277777777777778,0.05555555555555553,0.573533950617284,0.060473155639213065,0.7777777777777778,0.12171612389003691
27,0.5027777777777778,0.005555555555555536,0.5628086419753087,0.04747371102868976,0.7888888888888889,0.11863420280034788
28,0.5,0.0,0.5542438271604938,0.010861829848622074,0.7555555555555555,0.06666666666666665
29,0.5,0.0,0.5665123456790124,0.02919237550080452,0.7333333333333334,0.1018350154434631
30,0.5083333333333333,0.016666666666666653,0.5762345679012346,0.050638451611282206,0.8111111111111111,0.07535922203472521
31,0.5,0.0,0.571141975308642,0.051041302150560505,0.8,0.090267093384844
32,0.5,0.0,0.5575617283950618,0.026789696759416927,0.8222222222222222,0.0816496580927726
33,0.5277777777777778,0.048907824615719464,0.5623456790123457,0.02847797208494711,0.8111111111111111,0.06666666666666667
34,0.5194444444444445,0.03888888888888888,0.5964506172839507,0.04438439015369764,0.8777777777777779,0.054433105395181716
35,0.5083333333333333,0.011111111111111112,0.5546296296296298,0.012213801813215658,0.7888888888888889,0.0955813918560292
36,0.5277777777777778,0.04890782461571947,0.5765432098765432,0.06324977039694264,0.7555555555555554,0.10304020550550783
37,0.5027777777777778,0.005555555555555536,0.5689814814814815,0.032365493177231155,0.7666666666666666,0.06478835438717
38,0.5,0.0,0.5936728395061729,0.03626576043980601,0.8222222222222222,0.09558139185602918
39,0.55,0.06370747189544287,0.6128086419753086,0.08252551992447583,0.8111111111111111,0.16703662642636563
